id,Rings
90615,10
90616,10
90617,9
90618,11
90619,8
90620,10
90621,11
90622,6
90623,8
90624,12
90625,13
90626,7
90627,10
90628,14
90629,7
90630,7
90631,13
90632,6
90633,10
90634,10
90635,6
90636,7
90637,10
90638,9
90639,10
90640,11
90641,8
90642,10
90643,6
90644,11
90645,10
90646,9
90647,12
90648,15
90649,14
90650,10
90651,9
90652,8
90653,12
90654,6
90655,8
90656,11
90657,8
90658,7
90659,9
90660,7
90661,9
90662,7
90663,9
90664,7
90665,13
90666,9
90667,6
90668,10
90669,10
90670,9
90671,11
90672,9
90673,13
90674,8
90675,6
90676,11
90677,12
90678,5
90679,10
90680,10
90681,10
90682,17
90683,11
90684,14
90685,11
90686,7
90687,10
90688,9
90689,11
90690,20
90691,8
90692,11
90693,13
90694,9
90695,9
90696,10
90697,7
90698,9
90699,5
90700,11
90701,10
90702,10
90703,14
90704,5
90705,12
90706,11
90707,6
90708,8
90709,10
90710,10
90711,10
90712,9
90713,14
90714,7
90715,8
90716,7
90717,9
90718,4
90719,6
90720,11
90721,10
90722,9
90723,8
90724,10
90725,7
90726,8
90727,8
90728,11
90729,11
90730,11
90731,5
90732,7
90733,10
90734,9
90735,8
90736,8
90737,6
90738,7
90739,16
90740,10
90741,6
90742,9
90743,13
90744,7
90745,9
90746,8
90747,4
90748,14
90749,10
90750,5
90751,8
90752,8
90753,8
90754,9
90755,9
90756,9
90757,13
90758,9
90759,7
90760,8
90761,10
90762,9
90763,9
90764,13
90765,11
90766,7
90767,15
90768,12
90769,6
90770,11
90771,11
90772,6
90773,8
90774,7
90775,9
90776,8
90777,12
90778,11
90779,10
90780,11
90781,11
90782,8
90783,13
90784,7
90785,9
90786,6
90787,9
90788,4
90789,12
90790,9
90791,7
90792,7
90793,7
90794,6
90795,11
90796,11
90797,10
90798,12
90799,8
90800,15
90801,10
90802,7
90803,10
90804,16
90805,11
90806,8
90807,10
90808,10
90809,14
90810,9
90811,10
90812,6
90813,10
90814,7
90815,8
90816,5
90817,10
90818,9
90819,7
90820,7
90821,10
90822,7
90823,6
90824,13
90825,8
90826,5
90827,4
90828,10
90829,11
90830,9
90831,8
90832,9
90833,13
90834,10
90835,9
90836,9
90837,5
90838,11
90839,8
90840,9
90841,11
90842,13
90843,10
90844,13
90845,11
90846,13
90847,7
90848,10
90849,9
90850,11
90851,12
90852,6
90853,11
90854,11
90855,8
90856,9
90857,11
90858,12
90859,10
90860,13
90861,10
90862,12
90863,10
90864,9
90865,17
90866,15
90867,11
90868,12
90869,8
90870,14
90871,11
90872,15
90873,8
90874,15
90875,8
90876,11
90877,9
90878,8
90879,9
90880,8
90881,13
90882,11
90883,12
90884,13
90885,10
90886,13
90887,6
90888,9
90889,15
90890,11
90891,11
90892,10
90893,4
90894,13
90895,11
90896,7
90897,5
90898,6
90899,16
90900,12
90901,16
90902,9
90903,6
90904,7
90905,8
90906,8
90907,10
90908,4
90909,14
90910,9
90911,8
90912,19
90913,9
90914,9
90915,7
90916,9
90917,12
